Strategy,TokenAddress,AlertTime,EntryTime,ExitTime,EntryPrice,PnL,PnLPercent,MaxReached,MaxGainPercent,TokenMaxDrawdownPercent,HoldDurationHours
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,AUondHfWHCZwDq7cFv2nC3uEbToUcAKd54cHzxedbonk,2025-07-30T09:49:37.000Z,2025-07-31T11:00:00.000+10:00,2025-07-31T13:00:00.000+10:00,0.00000663,29.3131,2831.31,1.0000,0.00,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,Bg422kWRLrArkAMnGDZv3GTmYDrFKhuC2MGzSoxxjups,2025-07-30T09:49:53.000Z,2025-07-31T14:00:00.000+10:00,2025-07-31T16:00:00.000+10:00,0.00010022,1.2036,20.36,1.0940,9.40,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,6cHJn25Pay6nd4JJsKKZ8Fmm2NL43t8BY5Mp1hhiUb56,2025-07-30T09:50:05.000Z,2025-08-03T06:00:00.000+10:00,2025-08-03T08:00:00.000+10:00,0.00001972,1.0478,4.78,1.0000,0.00,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,35Wfh9AtZoFvj1P7dqrM8S2Fp3vxH161Yw7jHKmtbonk,2025-07-31T16:44:42.000Z,2025-08-01T23:00:00.000+10:00,2025-08-02T02:00:00.000+10:00,0.00003981,0.9160,-8.40,1.0322,3.22,8.40,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,yNdBHZXkU6R3dBXE7q5DFoDx5gBwnPDtbEFMSJsbonk,2025-07-31T21:10:31.000Z,2025-08-01T18:00:00.000+10:00,2025-08-01T20:00:00.000+10:00,0.00017706,1.0470,4.70,1.2056,20.56,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,CvbYok7aFZJXjBKrWeXsC42ejki5iWm9tSUdSGspbonk,2025-08-01T08:05:27.000Z,2025-08-02T01:00:00.000+10:00,2025-08-02T02:00:00.000+10:00,0.00001638,1.0274,2.74,1.2632,26.32,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,8Ejzgzic8ubyoARqXjJX6S2mYkGxiKHJx5rb5feBbonk,2025-08-01T08:46:37.000Z,2025-08-02T01:00:00.000+10:00,2025-08-02T03:00:00.000+10:00,0.00054209,0.8500,-15.00,1.1795,17.95,15.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,3MwfC8upr8dWxFfTKNZTk4SWfHa8Vx6XE6VCCZYbbonk,2025-08-01T15:45:00.000Z,2025-08-02T11:00:00.000+10:00,2025-08-02T13:00:00.000+10:00,0.00012252,2.6090,160.90,1.3519,35.19,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,AVXvi73TrnRtScxzkNBxvth9uy8dHUrjaZoDwgzsbonk,2025-08-02T10:35:29.000Z,2025-08-03T16:00:00.000+10:00,2025-08-03T18:00:00.000+10:00,0.00000729,1.6854,68.54,1.0450,4.50,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_Clamp85,FxsVw7C2bseKiAdJmQ8qQ2uSVNnwnzw8ceceD3Exbonk,2025-08-02T10:35:52.000Z,2025-08-03T08:00:00.000+10:00,2025-08-03T10:00:00.000+10:00,0.00001541,1.2327,23.27,1.3697,36.97,0.00,0.00
