priority,quality_score,mint,chain,alert_count,has_duplicates,duplicate_count,has_gaps,gap_count,has_distortions,distortion_count,callers
medium,70.0,A5r6E4tj2rXREkBQdLCmv8sRNdinSyKeBumCwjFxjups,solana,3,False,0,False,0,True,4254,
medium,70.0,EtZFFYibEKAQbR4UB1VoQFscpkTYxbMdB1bssbAybonk,solana,3,False,0,False,0,True,6964,
medium,70.0,5282xUX6Um6yP9SSFpUE4DLdbV4FTS7fzFkF2xDcbonk,solana,3,False,0,False,0,True,9935,
medium,70.0,HjsZ73QxNbXoUnyXXffoXn6kHUKQqdy6GXd4J1N4shot,solana,3,False,0,False,0,True,6169,
medium,70.0,3ffUQ1yDyr3MdVNb5hyumwj9WK5GPXLJDpvGRAypbonk,solana,3,False,0,False,0,True,8295,
medium,70.0,Fp7JAxNtEJsRPuWfHTaDdXyEwncAumMszsEXREPo7HpC,solana,3,False,0,False,0,True,9695,
medium,70.0,jZGmEwwaW94iiU32wa6RADgVEhdpQpa6MtGERfJpump,solana,3,False,0,False,0,True,7939,
medium,70.0,FWj3yi1x2ZHaZZsB1mteximPVZJ3LtGjNzasknTpbonk,solana,3,False,0,False,0,True,7614,
medium,70.0,o86kpPZy4Vo37Pdg3SBkmzgTNhkAM2sfghirvgSpump,solana,3,False,0,False,0,True,5213,
medium,70.0,7qDrjF1zkDJA6LombCda3duwC1ABbAYancTiRHZwbonk,solana,3,False,0,False,0,True,6199,
medium,70.0,8dXF2MMpCieBD6PZnHwZyDmREnzUJELxo9RL4PGbonk,solana,3,False,0,False,0,True,7926,
medium,70.0,BJssriYGNkMqLW2MUXxztWYbY3UBF87ZYKq3KDstaxX,solana,3,False,0,False,0,True,9875,
medium,70.0,597vZbUGXN7Qvnxys4WaMBM9qS1bFpbbB1ch9Cchpump,solana,3,False,0,False,0,True,9646,
medium,70.0,86NZP6zL4jqYUhQLn5VczbmckdHx78AaVz2CmPakpump,solana,3,False,0,False,0,True,9426,
medium,70.0,9isJBF9KGWNGga6D4Hbz6H2Gj99ra9JYNxD6Csxppump,solana,3,False,0,False,0,True,7288,
medium,70.0,9Zmgzw27pXksFBQBCAhDfVkNB4adHPEcvo51q8Rnbonk,solana,3,False,0,False,0,True,8667,
