title,year,lot_id,price_text,location_text,time_text,url,source_page
2015 Suzuki Grand Vitara GV3 NAVIGATOR JT Automatic Wagon,2015,21061417,"$1,600",VIC,,https://www.grays.com/lot/0001-21061417/motor-vehicles-motor-cycles/2015-suzuki-grand-vitara-gv3-navigator-jt-automatic-wagon,1
2010 Mazda 3 Maxx Sport BL Automatic Hatchback,2010,21061375,"$3,900",VIC,,https://www.grays.com/lot/0001-21061375/motor-vehicles-motor-cycles/2010-mazda-3-maxx-sport-bl-automatic-hatchback,1
2007 Honda Jazz GLi GD CVT Hatchback,2007,21061353,"$1,109",VIC,,https://www.grays.com/lot/0001-21061353/motor-vehicles-motor-cycles/2007-honda-jazz-gli-gd-cvt-hatchback,1
2008 Audi Q7 3.0 TDI quattro Turbo Diesel Automatic 7 Seats Wagon,2008,21061377,"$1,100",VIC,,https://www.grays.com/lot/0001-21061377/motor-vehicles-motor-cycles/2008-audi-q7-3-0-tdi-quattro-turbo-diesel-automatic-7-seats-wagon,1
2011 BMW 118i 118i F20 Automatic - 8 Speed Hatchback,2011,21061367,"$1,000",VIC,,https://www.grays.com/lot/0001-21061367/motor-vehicles-motor-cycles/2011-bmw-118i-118i-f20-automatic-8-speed-hatchback,1
2015 Audi A1 1.0 TFSI 8X Automatic Hatchback,2015,21061460,$909,VIC,,https://www.grays.com/lot/0001-21061460/motor-vehicles-motor-cycles/2015-audi-a1-1-0-tfsi-8x-automatic-hatchback,1
2013 Mercedes Benz B-CLASS B200 BE W246 Automatic Hatchback,2013,21061464,"$2,300",VIC,,https://www.grays.com/lot/0001-21061464/motor-vehicles-motor-cycles/2013-mercedes-benz-b-class-b200-be-w246-automatic-hatchback,1
2014 Mercedes Benz C200 BE S204 Automatic Wagon,2014,21061443,"$1,775",VIC,,https://www.grays.com/lot/0001-21061443/motor-vehicles-motor-cycles/2014-mercedes-benz-c200-be-s204-automatic-wagon,1
2013 Hyundai iMAX TQ Turbo Diesel Automatic 8 Seats People Mover,2013,21061394,"$2,700",VIC,,https://www.grays.com/lot/0001-21061394/motor-vehicles-motor-cycles/2013-hyundai-imax-tq-turbo-diesel-automatic-8-seats-people-mover,1
2008 Holden Commodore Lumina VE Automatic Sedan,2008,21061374,$309,VIC,,https://www.grays.com/lot/0001-21061374/motor-vehicles-motor-cycles/2008-holden-commodore-lumina-ve-automatic-sedan,2
2011 Mercedes Benz C180 BE C204 Automatic Coupe,2011,21061458,"$1,109",VIC,,https://www.grays.com/lot/0001-21061458/motor-vehicles-motor-cycles/2011-mercedes-benz-c180-be-c204-automatic-coupe,2
2011 Audi A6 2.8 FSI Quattro C7 Automatic Sedan,2011,21061348,"$4,000",VIC,,https://www.grays.com/lot/0001-21061348/motor-vehicles-motor-cycles/2011-audi-a6-2-8-fsi-quattro-c7-automatic-sedan,2
2014 Jeep Grand Cherokee Blackhawk LE (4x4) WK Turbo Diesel Auto,2014,21061361,"$1,009",VIC,,https://www.grays.com/lot/0001-21061361/motor-vehicles-motor-cycles/2014-jeep-grand-cherokee-blackhawk-le-4x4-wk-turbo-diesel-auto,2
2010 Toyota Corolla Ascent ZRE152R Automatic Sedan,2010,21061381,$909,VIC,,https://www.grays.com/lot/0001-21061381/motor-vehicles-motor-cycles/2010-toyota-corolla-ascent-zre152r-automatic-sedan,2
2014 Mercedes Benz A-Class A250 Sport W176 7 man Hatchback,2014,21061463,$809,VIC,,https://www.grays.com/lot/0001-21061463/motor-vehicles-motor-cycles/2014-mercedes-benz-a-class-a250-sport-w176-7-man-hatchback,2
2016 BMW 2 Series Active Tour 218i F45 Automatic Wagon,2016,21061389,$809,VIC,,https://www.grays.com/lot/0001-21061389/motor-vehicles-motor-cycles/2016-bmw-2-series-active-tour-218i-f45-automatic-wagon,2
2014 Ford Ranger XL 4X2 Hi-Rider PX Turbo Diesel Automatic Dual Cab,2014,21061339,$709,VIC,,https://www.grays.com/lot/0001-21061339/motor-vehicles-motor-cycles/2014-ford-ranger-xl-4x2-hi-rider-px-turbo-diesel-automatic-dual-cab,2
2014 Land Rover Range Rover Evoque TD4 PURE TECH Turbo Diesel 9 auto Wagon,2014,21061358,$613,VIC,,https://www.grays.com/lot/0001-21061358/motor-vehicles-motor-cycles/2014-land-rover-range-rover-evoque-td4-pure-tech-turbo-diesel-9-auto-wagon,2
2015 Mazda CX-5 Maxx Sport KE Turbo Diesel Automatic Wagon,2015,21061392,$609,VIC,,https://www.grays.com/lot/0001-21061392/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,2
2010 Mitsubishi Lancer ES CJ CVT Sedan,2010,21061383,$509,VIC,,https://www.grays.com/lot/0001-21061383/motor-vehicles-motor-cycles/2010-mitsubishi-lancer-es-cj-cvt-sedan,2
2014 Mercedes Benz Sprinter 416 CDI MWB L/ROOF Turbo Diesel Automatic Van,2014,21061369,$509,VIC,,https://www.grays.com/lot/0001-21061369/motor-vehicles-motor-cycles/2014-mercedes-benz-sprinter-416-cdi-mwb-l-roof-turbo-diesel-automatic-van,2
2014 Audi A3 1.8 TFSI AMB quattro 8V Automatic Sedan,2014,21061349,$509,VIC,,https://www.grays.com/lot/0001-21061349/motor-vehicles-motor-cycles/2014-audi-a3-1-8-tfsi-amb-quattro-8v-automatic-sedan,2
2011 BMW X5 xDrive 40d SPORT E70 LCI Turbo Diesel Auto - 8 Speed 7 Seats,2011,21061351,"$1,350",VIC,,https://www.grays.com/lot/0001-21061351/motor-vehicles-motor-cycles/2011-bmw-x5-xdrive-40d-sport-e70-lci-turbo-diesel-auto-8-speed-7-seats,2
2010 BMW 3 Series 320d Lifestyle E90 Turbo Diesel Automatic Sedan,2010,21061359,$409,VIC,,https://www.grays.com/lot/0001-21061359/motor-vehicles-motor-cycles/2010-bmw-3-series-320d-lifestyle-e90-turbo-diesel-automatic-sedan,2
2014 Hyundai Santa Fe Highlander DM Turbo Diesel Automatic 7 Seats Wagon,2014,21061386,$509,VIC,,https://www.grays.com/lot/0001-21061386/motor-vehicles-motor-cycles/2014-hyundai-santa-fe-highlander-dm-turbo-diesel-automatic-7-seats-wagon,2
2007 Audi A4 2.0 B7 CVT Wagon,2007,21061378,$209,VIC,,https://www.grays.com/lot/0001-21061378/motor-vehicles-motor-cycles/2007-audi-a4-2-0-b7-cvt-wagon,2
2010 BMW X3 xDrive 20d F25 Turbo Diesel Automatic - 8 Speed Wagon,2010,21061441,$709,VIC,,https://www.grays.com/lot/0001-21061441/motor-vehicles-motor-cycles/2010-bmw-x3-xdrive-20d-f25-turbo-diesel-automatic-8-speed-wagon,2
2015 Renault Clio Authentique Manual Hatchback,2015,21061457,$609,VIC,,https://www.grays.com/lot/0001-21061457/motor-vehicles-motor-cycles/2015-renault-clio-authentique-manual-hatchback,2
2012 Ford Ranger XL 4X4 PX Turbo Diesel Manual Ute,2012,21061407,$309,VIC,,https://www.grays.com/lot/0001-21061407/motor-vehicles-motor-cycles/2012-ford-ranger-xl-4x4-px-turbo-diesel-manual-ute,2
2016 Holden Astra R BK Manual Hatchback,2016,21061430,"$1,509",VIC,,https://www.grays.com/lot/0001-21061430/motor-vehicles-motor-cycles/2016-holden-astra-r-bk-manual-hatchback,2
2015 Mitsubishi Lancer ES SPORT CF CVT Sedan,2015,21061434,$409,VIC,,https://www.grays.com/lot/0001-21061434/motor-vehicles-motor-cycles/2015-mitsubishi-lancer-es-sport-cf-cvt-sedan,2
2010 Mini Cooper S R56 Automatic Hatchback,2010,21061346,$409,VIC,,https://www.grays.com/lot/0001-21061346/motor-vehicles-motor-cycles/2010-mini-cooper-s-r56-automatic-hatchback,2
2015 Volkswagen GOLF ALLTRACK 132TSI A7 Automatic Wagon,2015,21061456,$309,VIC,,https://www.grays.com/lot/0001-21061456/motor-vehicles-motor-cycles/2015-volkswagen-golf-alltrack-132tsi-a7-automatic-wagon,2
2012 Holden Colorado 4X4 LTZ RG Turbo Diesel Automatic Dual Cab,2012,21061422,$309,VIC,,https://www.grays.com/lot/0001-21061422/motor-vehicles-motor-cycles/2012-holden-colorado-4x4-ltz-rg-turbo-diesel-automatic-dual-cab,2
2007 Land Rover Discovery SE SERIES 3 Automatic 7 Seats Wagon,2007,21061366,$309,VIC,,https://www.grays.com/lot/0001-21061366/motor-vehicles-motor-cycles/2007-land-rover-discovery-se-series-3-automatic-7-seats-wagon,2
2013 Volkswagen Touareg V6 TDI Automatic Wagon,2013,21061487,$209,VIC,,https://www.grays.com/lot/0001-21061487/motor-vehicles-motor-cycles/2013-volkswagen-touareg-v6-tdi-automatic-wagon,2
2013 Volvo XC60 T5 TEKNIK Automatic Wagon,2013,21061445,$209,VIC,,https://www.grays.com/lot/0001-21061445/motor-vehicles-motor-cycles/2013-volvo-xc60-t5-teknik-automatic-wagon,2
2009 Volvo XC90 3.2 R-Design Automatic 7 Seats Wagon,2009,21061376,$209,VIC,,https://www.grays.com/lot/0001-21061376/motor-vehicles-motor-cycles/2009-volvo-xc90-3-2-r-design-automatic-7-seats-wagon,2
2013 Nissan Dualis ST J10 III CVT Wagon,2013,21061370,$209,VIC,,https://www.grays.com/lot/0001-21061370/motor-vehicles-motor-cycles/2013-nissan-dualis-st-j10-iii-cvt-wagon,2
2013 BMW 3 Series 320d F30 Turbo Diesel Automatic - 8 Speed Sedan,2013,21061356,$209,VIC,,https://www.grays.com/lot/0001-21061356/motor-vehicles-motor-cycles/2013-bmw-3-series-320d-f30-turbo-diesel-automatic-8-speed-sedan,2
2015 Hyundai i30 Active X GD II Manual Hatchback,2015,21061372,$400,VIC,,https://www.grays.com/lot/0001-21061372/motor-vehicles-motor-cycles/2015-hyundai-i30-active-x-gd-ii-manual-hatchback,2
2014 Toyota Hilux 4X4 SR KUN26R Turbo Diesel Manual Extra Cab,2014,21061416,$209,VIC,,https://www.grays.com/lot/0001-21061416/motor-vehicles-motor-cycles/2014-toyota-hilux-4x4-sr-kun26r-turbo-diesel-manual-extra-cab,2
2011 Hyundai i20 Active PB Automatic Hatchback,2011,21061050,$209,VIC,,https://www.grays.com/lot/0001-21061050/motor-vehicles-motor-cycles/2011-hyundai-i20-active-pb-automatic-hatchback,2
2014 Holden Trax LS TJ Automatic Wagon,2014,21061489,$109,VIC,,https://www.grays.com/lot/0001-21061489/motor-vehicles-motor-cycles/2014-holden-trax-ls-tj-automatic-wagon,2
2013 Jeep Grand Cherokee OVERLAND WK Automatic - 8 Speed Wagon,2013,21061437,$109,VIC,,https://www.grays.com/lot/0001-21061437/motor-vehicles-motor-cycles/2013-jeep-grand-cherokee-overland-wk-automatic-8-speed-wagon,2
