TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter
984,2025-09-07T23:08:12.000Z,0.929132,116.39,-8.25,1102.78,1094.53
985,2025-09-07T23:39:58.000Z,0.853711,116.39,-17.03,1094.53,1077.50
986,2025-09-08T07:32:50.000Z,0.800000,116.39,-23.28,1077.50,1054.23
987,2025-09-08T09:43:59.000Z,1.000000,116.39,0.00,1054.23,1054.23
988,2025-09-08T09:53:19.000Z,0.993033,116.39,-0.81,1054.23,1053.41
989,2025-09-08T10:00:29.000Z,1.000000,116.39,0.00,1053.41,1053.41
990,2025-09-08T10:24:51.000Z,0.988048,116.39,-1.39,1053.41,1052.02
991,2025-09-08T10:28:11.000Z,0.833313,116.39,-19.40,1052.02,1032.62
992,2025-09-08T12:32:36.000Z,1.001601,116.39,0.19,1032.62,1032.81
993,2025-09-08T12:57:05.000Z,1.090644,116.39,10.55,1032.81,1043.36
994,2025-09-08T14:15:54.000Z,1.209128,116.39,24.34,1043.36,1067.70
995,2025-09-08T16:41:47.000Z,0.885296,116.39,-13.35,1067.70,1054.35
996,2025-09-08T16:45:35.000Z,1.009607,116.39,1.12,1054.35,1055.47
997,2025-09-08T17:12:25.000Z,0.995705,116.39,-0.50,1055.47,1054.97
998,2025-09-08T17:13:00.000Z,0.987103,116.39,-1.50,1054.97,1053.47
999,2025-09-08T17:49:06.000Z,1.011080,116.39,1.29,1053.47,1054.76
1000,2025-09-08T19:06:41.000Z,0.800000,116.39,-23.28,1054.76,1031.48
1001,2025-09-08T19:09:45.000Z,0.903918,116.39,-11.18,1031.48,1020.29
1002,2025-09-08T20:55:25.000Z,0.994263,116.39,-0.67,1020.29,1019.63
1003,2025-09-08T22:03:37.000Z,0.979212,116.39,-2.42,1019.63,1017.21
1004,2025-09-08T22:17:49.000Z,0.987237,116.39,-1.49,1017.21,1015.72
1005,2025-09-08T22:46:09.000Z,1.022160,116.39,2.58,1015.72,1018.30
1006,2025-09-09T02:21:18.000Z,0.987090,116.39,-1.50,1018.30,1016.80
1007,2025-09-09T03:20:10.000Z,0.961366,116.39,-4.50,1016.80,1012.30
1008,2025-09-09T04:00:32.000Z,1.017842,116.39,2.08,1012.30,1014.38
1009,2025-09-09T04:38:55.000Z,0.880187,116.39,-13.95,1014.38,1000.43
1010,2025-09-09T08:42:39.000Z,1.000000,116.39,0.00,1000.43,1000.43
1011,2025-09-09T09:00:29.000Z,0.957912,116.39,-4.90,1000.43,995.53
1012,2025-09-09T09:01:33.000Z,1.000000,116.39,0.00,995.53,995.53
1013,2025-09-09T10:04:13.000Z,0.852825,116.39,-17.13,995.53,978.40
1014,2025-09-09T13:22:36.000Z,1.056502,116.39,6.58,978.40,984.98
1015,2025-09-09T13:52:24.000Z,0.979403,116.39,-2.40,984.98,982.58
1016,2025-09-09T15:25:50.000Z,0.988758,116.39,-1.31,982.58,981.27
1017,2025-09-09T17:24:29.000Z,0.800000,116.39,-23.28,981.27,958.00
1018,2025-09-10T00:06:20.000Z,0.985313,116.39,-1.71,958.00,956.29
1019,2025-09-10T01:19:24.000Z,1.031879,116.39,3.71,956.29,960.00
1020,2025-09-10T03:30:39.000Z,1.063966,116.39,7.45,960.00,967.44
1021,2025-09-10T12:07:29.000Z,0.974406,116.39,-2.98,967.44,964.46
1022,2025-09-10T13:15:29.000Z,0.801367,116.39,-23.12,964.46,941.34
