Strategy,TotalTrades,WinRate,AvgPnlPerTrade,FinalPortfolio,CompoundFactor,MaxDrawdown,MaxDrawdownPct,StdDevReturns,RiskAdjustedScore,AvgPerTradeMaxDrawdown,AvgRiskRatio,SharpeRatio,LossClampEnabled,MinPnlFloor
PT2_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.67,3.60,363.84,3.6384,33.62,9.24,25.77,0.1024,4.05,21.26,2.2177,Yes,0.85
PT2_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.42,3.54,354.60,3.5460,32.77,9.24,25.78,0.0988,4.09,21.17,2.1772,Yes,0.85
PT2-3_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.67,3.51,353.03,3.5303,32.63,9.24,24.82,0.1019,4.05,21.26,2.2429,Yes,0.85
PT1.5_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.91,3.52,352.79,3.5279,30.39,8.61,25.89,0.0976,4.55,21.26,2.1563,No,0.8
PT1.5_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.67,3.46,350.20,3.5020,29.43,8.40,24.27,0.1031,4.08,21.19,2.2659,Yes,0.85
PT1.5_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.67,3.49,349.44,3.4944,29.92,8.56,25.61,0.0974,4.43,21.17,2.1636,No,0.8
PT1.5_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.67,3.49,349.44,3.4944,29.92,8.56,25.61,0.0974,4.43,21.17,2.1636,Yes,0.8
PT1.5-2_SL25_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.91,3.43,346.66,3.4666,29.60,8.54,23.48,0.1051,4.04,21.29,2.3196,Yes,0.85
PT2-3_SL20_TS20@2_NoExitCross_KijunSL_Clamp85,403,44.42,3.44,344.06,3.4406,31.80,9.24,24.84,0.0983,4.09,21.17,2.2009,Yes,0.85
PT1.5-2_SL25_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.91,3.44,343.52,3.4352,29.76,8.66,24.99,0.0974,4.55,21.26,2.1850,No,0.8
PT1.5-2_SL20_TS15@1.5_NoExitCross_KijunSL_NoClamp,403,44.67,3.41,339.50,3.3950,29.23,8.61,24.69,0.0970,4.43,21.17,2.1911,No,0.8
PT1.5-2_SL20_TS15@1.5_NoExitCross_KijunSL_Clamp80,403,44.67,3.41,339.50,3.3950,29.23,8.61,24.69,0.0970,4.43,21.17,2.1911,Yes,0.8
