Caller,TotalCalls,UniqueTokens,TotalTrades,WinRate,WinningTrades,LosingTrades,AvgPnlPerTrade,InitialPortfolio,FinalPortfolio_Reinvestment,TotalReturn_Reinvestment,FinalPortfolio_NoReinvestment,TotalReturn_NoReinvestment,MaxDrawdown_Reinvestment,MaxDrawdown_NoReinvestment,StdDevReturns,DaysActive,DailyTWR,WeeklyTWR,AnnualTWR_Theoretical,AnnualTWR_Realistic,CalmarRatio,RiskAdjustedScore,AvgPerTradeMaxDrawdown,MaxPerTradeMaxDrawdown,AvgRiskRatio,MedianRiskRatio
terrør,1,1,1,0,0,1,-0.56,100,99.94,-0.06,99.94,-0.06,0.06,0,0,1,-0.06,-0.39,-18.4,0,0,0,0,0,0,0
Zephyr (AFK 3 DAYS),1,1,1,0,0,1,-1.98,100,99.8,-0.2,99.8,-0.2,0.2,0,0,1,-0.2,-1.38,-51.51,0,0,0,0,0,0,0
God Everything,7,7,1,0,0,1,-3.31,100,99.67,-0.33,99.67,-0.33,0.33,0,0,1,-0.33,-2.29,-70.17,0,0,0,0,0,0,0
Xebek,34,26,2,0,0,2,-3.95,100,99.21,-0.79,99.21,-0.79,0.79,0,0.22,7.13,-0.11,-0.78,-33.39,0,0,-0.51,0,0,0,0
Dr.Monad Malik,4,4,4,50,2,2,-2.13,100,99.14,-0.86,99.15,-0.85,1.46,0,0.86,50.38,-0.02,-0.12,-6.05,0,0,-0.02,0,0,0,0
Ivan Syah,3,3,1,0,0,1,-8.67,100,99.13,-0.87,99.13,-0.87,0.87,0,0,1,-0.87,-5.91,-95.83,0,0,0,0,0,0,0
Stefan,4,3,3,66.67,2,1,-4.27,100,98.72,-1.28,98.72,-1.28,1.54,0,0.97,42.42,-0.03,-0.21,-10.51,0,0,-0.03,0,0,0,0
Goons🧲 𓃵,12,10,3,66.67,2,1,-4.97,100,98.51,-1.49,98.51,-1.49,1.71,0,1.05,28.75,-0.05,-0.37,-17.37,0,0,-0.05,0,0,0,0
Badass [ WON’T DM FIRST ],4,3,3,0,0,3,-6.65,100,98.01,-1.99,98,-2,1.99,0,0.58,74.13,-0.03,-0.19,-9.44,0,0,-0.05,0,0,0,0
Kuzgun,3,2,2,0,0,2,-10.79,100,97.84,-2.16,97.84,-2.16,2.16,0,1.28,1,-2.16,-14.15,-99.96,0,0,-1.69,0,0,0,0
