TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
160,2025-10-24T12:58:56.000Z,1.960279,13.99,13.43,140.50,153.93,139.87
161,2025-10-24T18:31:30.000Z,1.008903,14.10,0.13,153.93,154.05,141.00
162,2025-10-24T19:49:08.000Z,1.000000,14.21,0.00,154.05,154.05,142.10
163,2025-10-25T16:35:13.000Z,1.254318,14.34,3.65,154.05,157.70,143.42
164,2025-10-28T12:36:11.000Z,1.047506,14.53,0.69,157.70,158.39,145.33
165,2025-10-28T20:26:19.000Z,0.911243,14.73,-1.31,158.39,157.09,147.31
166,2025-10-29T08:56:14.000Z,0.965107,14.93,-0.52,157.09,156.56,149.33
167,2025-10-29T10:51:55.000Z,1.420735,15.13,6.37,156.56,162.93,151.35
168,2025-10-29T12:10:34.000Z,1.022265,15.35,0.34,162.93,163.27,153.54
169,2025-11-02T14:34:51.000Z,0.961686,15.58,-0.60,163.27,162.68,155.85
