table_schema,table_name,ordinal_position,column_name,data_type,is_nullable
canon,alerts_analysis,3,alert_message_id,BIGINT,YES
canon,alerts_analysis,4,alert_ts_ms,BIGINT,YES
canon,alerts_analysis,5,chain,VARCHAR,YES
canon,alerts_analysis,6,mint,VARCHAR,YES
canon,alerts_analysis,7,mint_source,VARCHAR,YES
canon,alerts_analysis,8,caller_id,VARCHAR,YES
canon,alerts_analysis,9,caller_name_norm,VARCHAR,YES
canon,alerts_analysis,10,caller_base,VARCHAR,YES
canon,alerts_analysis,11,alert_kind,VARCHAR,YES
canon,alerts_analysis,12,alert_text,VARCHAR,YES
canon,alerts_analysis,13,run_id,VARCHAR,YES
canon,alerts_analysis,14,ingested_at,TIMESTAMP,YES
canon,alerts_canon,1,alert_id,VARCHAR,YES
canon,alerts_canon,2,alert_chat_id,BIGINT,YES
canon,alerts_canon,3,alert_message_id,BIGINT,YES
canon,alerts_canon,4,alert_ts_ms,BIGINT,YES
canon,alerts_canon,5,alert_kind,VARCHAR,YES
canon,alerts_canon,6,chain,VARCHAR,YES
canon,alerts_canon,7,mint,VARCHAR,YES
canon,alerts_canon,8,mint_source,VARCHAR,YES
canon,alerts_canon,9,caller_name,VARCHAR,YES
canon,alerts_canon,10,caller_id,VARCHAR,YES
canon,alerts_canon,11,caller_name_norm,VARCHAR,YES
canon,alerts_canon,12,caller_base,VARCHAR,YES
canon,alerts_canon,13,run_id,VARCHAR,YES
canon,alerts_canon,14,ingested_at,TIMESTAMP,YES
canon,alerts_canon,15,alert_text,VARCHAR,YES
canon,alerts_canon_filled,1,alert_id,VARCHAR,YES
canon,alerts_canon_filled,2,alert_chat_id,BIGINT,YES
canon,alerts_canon_filled,3,alert_message_id,BIGINT,YES
canon,alerts_canon_filled,4,alert_ts_ms,BIGINT,YES
canon,alerts_canon_filled,5,alert_kind,VARCHAR,YES
canon,alerts_canon_filled,6,chain,VARCHAR,YES
canon,alerts_canon_filled,7,mint,VARCHAR,YES
canon,alerts_canon_filled,8,mint_source,VARCHAR,YES
canon,alerts_canon_filled,9,caller_raw_name,VARCHAR,YES
canon,alerts_canon_filled,10,caller_id,VARCHAR,YES
canon,alerts_canon_filled,11,caller_name_norm,VARCHAR,YES
canon,alerts_canon_filled,12,caller_base,VARCHAR,YES
canon,alerts_canon_filled,13,run_id,VARCHAR,YES
canon,alerts_canon_filled,14,ingested_at,TIMESTAMP,YES
canon,alerts_canon_filled,15,alert_text,VARCHAR,YES
canon,alerts_clean,1,alert_chat_id,BIGINT,YES
canon,alerts_clean,2,alert_message_id,BIGINT,YES
canon,alerts_clean,3,alert_id,VARCHAR,YES
canon,alerts_clean,4,alert_ts_ms,BIGINT,YES
canon,alerts_clean,5,caller_name,VARCHAR,YES
canon,alerts_clean,6,alert_text,VARCHAR,YES
canon,alerts_clean,7,run_id,VARCHAR,YES
canon,alerts_clean,8,ingested_at,TIMESTAMP,YES
canon,alerts_clean,9,caller_raw_name_clean,VARCHAR,YES
canon,alerts_clean,10,caller_id,VARCHAR,YES
canon,alerts_clean,11,caller_name_norm,VARCHAR,YES
canon,alerts_clean,12,caller_base,VARCHAR,YES
canon,alerts_enriched,1,alert_chat_id,BIGINT,YES
canon,alerts_enriched,2,alert_message_id,BIGINT,YES
canon,alerts_enriched,3,alert_ts_ms,BIGINT,YES
canon,alerts_enriched,4,caller_name,VARCHAR,YES
canon,alerts_enriched,5,chain,VARCHAR,YES
canon,alerts_enriched,6,mint,VARCHAR,YES
canon,alerts_enriched,7,bot_message_id,BIGINT,YES
canon,alerts_enriched,8,bot_name,VARCHAR,YES
canon,alerts_enriched,9,alert_text,VARCHAR,YES
canon,alerts_final,1,alert_chat_id,BIGINT,YES
canon,alerts_final,2,alert_message_id,BIGINT,YES
canon,alerts_final,3,alert_id,VARCHAR,YES
canon,alerts_final,4,alert_ts_ms,BIGINT,YES
canon,alerts_final,5,caller_name,VARCHAR,YES
canon,alerts_final,6,caller_id,VARCHAR,YES
canon,alerts_final,7,caller_name_norm,VARCHAR,YES
canon,alerts_final,8,chain,VARCHAR,YES
canon,alerts_final,9,mint,VARCHAR,YES
canon,alerts_final,10,mint_source,VARCHAR,YES
canon,alerts_final,11,bot_message_id,BIGINT,YES
canon,alerts_final,12,bot_ts_ms,BIGINT,YES
canon,alerts_final,13,bot_name,VARCHAR,YES
canon,alerts_final,14,run_id,VARCHAR,YES
canon,alerts_final,15,ingested_at,TIMESTAMP,YES
canon,alerts_final_pretty,1,alert_id,VARCHAR,YES
canon,alerts_final_pretty,2,alert_chat_id,BIGINT,YES
canon,alerts_final_pretty,3,alert_message_id,BIGINT,YES
canon,alerts_final_pretty,4,alert_ts_ms,BIGINT,YES
canon,alerts_final_pretty,5,caller_id,VARCHAR,YES
canon,alerts_final_pretty,6,caller,VARCHAR,YES
canon,alerts_final_pretty,7,caller_base,VARCHAR,YES
canon,alerts_final_pretty,8,chain,VARCHAR,YES
canon,alerts_final_pretty,9,mint,VARCHAR,YES
canon,alerts_final_pretty,10,mint_source,VARCHAR,YES
canon,alerts_final_pretty,11,bot_message_id,BIGINT,YES
canon,alerts_final_pretty,12,bot_ts_ms,BIGINT,YES
canon,alerts_final_pretty,13,bot_name,VARCHAR,YES
canon,alerts_final_pretty,14,run_id,VARCHAR,YES
canon,alerts_final_pretty,15,ingested_at,TIMESTAMP,YES
canon,alerts_final_pretty,16,alert_ts_utc,TIMESTAMP WITH TIME ZONE,YES
canon,alerts_health,1,alerts_total,BIGINT,YES
canon,alerts_health,2,alerts_with_mint,BIGINT,YES
canon,alerts_health,3,alerts_with_caller_id,BIGINT,YES
canon,alerts_health,4,alerts_missing_caller_id,BIGINT,YES
canon,alerts_health_origin,1,alert_id,VARCHAR,YES
canon,alerts_health_origin,2,alert_kind,VARCHAR,YES
canon,alerts_health_origin,3,caller_id,VARCHAR,YES
canon,alerts_health_origin,4,caller_raw_name,VARCHAR,YES
canon,alerts_health_origin,5,has_raw,BOOLEAN,YES
